(robot_env) ragnar@Ragnar:~/Desktop/robot $ python robot_client.py --server ws://193.169.240.11:8080                 2025-06-22 15:23:33,897 - asyncio - DEBUG - Using selector: EpollSelector
2025-06-22 15:23:47,508 - robot_video - DEBUG - 🎧 Ожидание сообщения (таймаут #13)...
2025-06-22 15:23:47,999 - robot_video - DEBUG - 🎥 Кадр #16 захвачен: True
2025-06-22 15:23:47,999 - robot_video - DEBUG - 🎨 Кодируем кадр #16...
2025-06-22 15:23:48,003 - robot_video - DEBUG - 🎨 Кадр #16 закодирован: True
2025-06-22 15:23:48,003 - robot_video - DEBUG - 📦 Очередь кадров полная, пропускаем кадр
2025-06-22 15:23:48,003 - robot_video - DEBUG - 🎥 Захватываем кадр #17...
2025-06-22 15:23:48,519 - robot_video - DEBUG - 🎧 Ожидание сообщения (таймаут #14)...
2025-06-22 15:23:48,858 - robot_video - DEBUG - 🎥 Кадр #17 захвачен: True
2025-06-22 15:23:48,858 - robot_video - DEBUG - 🎨 Кодируем кадр #17...
2025-06-22 15:23:48,862 - robot_video - DEBUG - 🎨 Кадр #17 закодирован: True
2025-06-22 15:23:48,863 - robot_video - DEBUG - 📦 Очередь кадров полная, пропускаем кадр
2025-06-22 15:23:48,863 - robot_video - DEBUG - 🎥 Захватываем кадр #18...
2025-06-22 15:23:49,531 - robot_video - INFO - ⏰ Таймаут ожидания сообщений: 15 секунд
2025-06-22 15:23:49,537 - robot_video - DEBUG - 🎧 Ожидание сообщения (таймаут #15)...
2025-06-22 15:23:49,619 - robot_video - WARNING - ⚠️ Таймаут отправки видео: 5.9s
2025-06-22 15:23:49,625 - robot_video - DEBUG - 🎬 Получен кадр из очереди: #7
2025-06-22 15:23:49,634 - websockets.client - DEBUG - > TEXT 'VIDEO_FRAME!{"type": "video_frame", "data": "/9...571, "frame_number": 7}' [32918 bytes]
2025-06-22 15:23:49,635 - robot_video - DEBUG - 📤 Отправлен кадр #7 (32918 байт)
2025-06-22 15:23:49,707 - robot_video - DEBUG - 🎬 Получен кадр из очереди: #8
2025-06-22 15:23:49,713 - websockets.client - DEBUG - > TEXT 'VIDEO_FRAME!{"type": "video_frame", "data": "/9...637, "frame_number": 8}' [31571 bytes]
